English,Gothic
Sion,Sion (noun)
sister,swistar (f. R)
"sit, to",sitan (V abl)
skull,hwairnei (f. N)
slanderer,diabula (f. O)
slaughter,slauhts (f. I) (the act of slaughter)
Slav,*Sklabens (m. A) (W.E.)
slave,1. skalks (m. A) 2. (house-servant) þius (m. U)
slavery,1. skalkinassus (m. U) 2. þiwadw (noun)
Slavic,*Sklabenisks (adj. A)
"slay, to",afslahan (VI)
"sleep, to","slepan (IV red) (3rd past tense = saislep), to fall asleep = anaslepan (IV red)"
sleight,filudeisei (f. N)
"slip, to (v.)",sliupan (II abl)
Slovakia,*Slaubakja (f. O)
Slovakian,1. *Slaubakus (m. U/I) 2. *Slaubakiska (adj. A) razda (f. O) 3. *Slaubakisks (adj. A)
small,leitils (adj. A)
smaller,minniza (Comp.)
"smear, to",gasmeitan (I)
smell,dauns (f. I)
smooth,slaihts (adj. A)
snake,waurms (m. A)
snare,wruggo (f. N)
"snot, to",*snutjan
snow,snaiws (noun)
snowman,snaiwsmanna (m. N)
soap,*saipjo (f. N) (W. E.)
sober,gafaurs (adj. I)
sobriety,inahei (f. N)
soft,hnasqus (adj. U)
softly,*hnasquba
soldier,gadrauhts (m. I)
solitary,auþeis (adj. Ja)
somebody,"sums (adj. A, masc. or fem.)"
someone,"sums (adj. A, masc. or fem.)"
son,sunus (m. U)
son-in-law,megs (m. Noun)
song,liuþ (n. A)
soon,"sprauto, so ~ = swa(swe) sprauto"
sorrow,1. gauriþa (f. O) 2. sair (n. A)
soul,saiwala (f. O)
sound,drunjus (m. U)
soup,*bruþ (n. A)
south,"1. *sunþrs (m. A) 2. *sunþra- (adj.), from the ~ = *sunþana, in the ~ = *sunþar, to the ~ = *sunþar"
southwards,*sunþar
"sow, to",1. saian (abl red) 2. insaïan (abl red)
sower (n.),saiands (pres-part)
space,"rum (n. A), to have ~ = gamotan (pret-pres)"
Spain,*Heispanja (f. O)
Spanish,1. *Heispaniska (adj. A) razda (f. O) 2. *Heispanisks (adj. A)
"spare, to (v.)",freidjan (I weak i) + acc. (once attested with genitive instead of accusative: sparing you = freidjands izwara)
"speak, to",~ evil of = anaqiþan (V abl)
spear,*gais (m. A)
spearow,sparwa (m. N)
spectacle,fairweitl (n. A)
speech (n.),"*qiss (f. I) (dat. and gen. have double “s”, dat. = qissai)"
speed (n.),*sprautei (f. N) (abstract noun)
"spend, to",fraqiman (IV)
sperm,*fraiw (n. A)
spikenard,nardus (m. U)
"spilled, to be",usgutnan (IV weak)
"spin, to (v.)",spinnan (III)
spirit,"ahma (m. N) (Spirit from God or a human, for ghost, see ghost)"
spiritual,ahmeins (adj. A)
"spit, to",gaspeiwan (I abl)
spittle,speiskuldra (noun)
spleen,*miltja
"spoil, to (v.)","andhamon (II weak) + dat (And having spoiled principalities and powers = andhamonds sik leika, reikja jah waldufnja)"
sponge,swamms (m. A)
spoon,*spenus (m. U) (W.E.)
"spring, to","keinan (I abl) (of seed), and the seed shall spring = jah þata fraiw keiniþ"
spy,ferja (m. N)
"spy, to",biniuhsjan (I weak i)
"stablish, to",tulgjan (I i weak)
staff,hrugga (f. O)
stairs,*usstaiga (f. O) (W.E.)
stake,1. hnuþo (f. N) 2. *staka (m. N)
stallion,*hahists / *hangists (m. N)
"stand, to",standan (VI abl) ~ with = miþwisan (unspecified verb)
star,stairno (f. N)
"startled, to be",gaþlahsnan (IV weak)
state,reiki (n. Ja)
stature,wahstus (m. U)
stave,walus (m. U)
"steal, to",stilan (IV abl)
stedfast,tulgus (adj. U)
stedfastly,*tulguba
steel,"stahl(s) (m., n. A) (W.E.)"
steep,~ place
steward,fauragaggja (m. N)
stewardship,fauragaggi (n. Ja)
sting,gazds (m. A)
stinking,fuls (adj. A)
"stir, to",gawagjan (I weak)
"establish, to (v.)",stiurjan (I weak i)
Stockholm,*Stukkahulms (m. A)
stone,"stains (m. A), corner ~ = waihstastains (m. A)"
"stone, to (v.)",stainam wairpan (III abl)
stony,stainahs (adj. A)
"stop, to","faurdammjan (I i weak) (to stop something or someone else) , not ~ = ni hweilan (III weak)"
store (n.),maþl (n. A)
storm,"skura (f. O), wind~ = skura windis, fire~ = *skura funins"
stork,*udafara (m. N) (W.e.)
story,1. spill (n. A) 2. insahts (f. I)
straight (adj.),raihts (adj. A)
straightway,sunsaiw
strait,aggwus (adj. U)
stranger,1. gasts (m. I) 2. aljakuns (adj. I)
street,1. gatwo (f. N) 2. plapja (f. O)
strength,swinþei (f. N)
"strengthen, to (v.)",gaswinþjan (I weak i)
"stretch, to",1. fairrinnan (III abl.) (mitaþ fairrinnandein und jah izwis = a measure to reach even unto you) 2. ufrakjan (I weak j) (used for hands)
strife,1. sakjo (f. N) 2. ~ of words = waurdajiuka (f. O)
"strike, to",*bautan (VII abl)
striker,slahals (m. Noun)
stripe,slahs (m. I)
"strive, to (v.)",1. usdaudjan (I weak i) 2. sakan (VI abl)
strong,swinþs (adj. A)
stronger,swinþoza (Comp.)
student,siponeis (m. Ja)
stumblingblock (n.),bistugq (n. A)
subconscious,*ufgahugds (f. I)
subculture,*minniza (comp.) kunjahaidus (m. U)
subject,"1. *ufwaurpa (f. O) 2. to be ~ to ordinances = urredan (abl red) (hwa þanaseiþs swe qiwai in þamma fairhwau urrediþ? = why, as though living in the world, are ye subject to ordinances)"
subjection,"1. ufhaiseins (f. I/O), 2. ufhnaiweins (f. I/O), to bring into ~ = anaþiwan (III weak)"
subverting,uswalteins (f. I/O)
such,swaleiks (adj. A strong)
"suck, to",1. daddjan (I weak i) 2. *sugan (II abl) m
suddenly,anaks
"sue, to",staua (f. O) niman (IV abl.)
"suffer, to",(ga)winnan (III abl)
suffering,winno (f. N)
sufficienty,ganauha (m. N)
sugar,*sakkar (n. A) (W.E.)
"suit, to",gatiman (IV)
summer,asans (f. I)
summit (n.),1. (meeting) gaqumþs (f. I)
sun,1. sunno (f. N) 2. (Only used once) sauil (n. A)
Sunday,*sunnins dags (m. A)
superfluous,ufjo
superscription,ufarmeleins (f. I/O)
supper,nahtamats (m. I)
supply,andstald (n. A)
"supply, to",andstaldan (III red)
"suppose, to",munan (pret-pres)
surely,arniba
surmising,anaminds (f. I)
"surpass, to",ufarþeihan (I abl)
"surround, to",bisatjan (I j weak)
Surtur (myth.),*Swartus (m. U)
swamp grass,*ahms (m. A)
Swede,*Sweja (m. N)
Sweden,*Swejaland (n. A)
"swear, to",swaren (VI abl)
"sweep, to (v.)",*baugjan (weak)
sweet,"sutis (adj. I) (most forms went over into -ja declension,"
sweetly,*sutiba (adv)
swelling,ufswalleins (f. I/O)
sword,1. hairus (m. U)
sycamine tree,bairabagms (m. A)
symbology,*taiknileisei (f. N)
synagogue,swnagoge (f. Noun)
Syria,1. Saurja (f. O) (gen. Saurais) 2. Swria (f. O)
Syrian,"(m.) Saur (m. U/I), (f.) Saur"
tabernacle,1. hliþra (f. O) 2. hlija (m. N)
table,"1. biuþs *(m. A) (table to eat) 2. mes (n. A) (table for working) 3. writing ~ = spilda (f. O), ~ of stone = spilda (f. O) staineina (adj. A)"
tablet,spilda (f. O)
tag,(online) sokjawaurd (n. A)
tail,*spaurds (m. A)
"take, to","1. niman (IV abl), ~ from = afholon (II weak), ~ out = usniman (IV abl) 2. to take (by hand) = fairgreipan (I abl), ~ part in = fairaihan (pret-pres) + gen."
"talk, to",rodjan (I i weak)
tapas,*tappos (f. O) (plural)
"taste, to",kausjan (I i weak) + acc
tax,1. gild (n. A) 2. gilstr (n. A)
taxing,gilstrameleins (f. I/O)
tea,*hairbata (f. O) (W. E.)
"teach, to",1. laisjan (I i weak) 2. talzjan (I i weak)
teacher,1. laisareis (m. Ja) 2. talzjands (m. Nd)
tear,gataura (m. N) (tearing of garment)
"tear, to","*tiran (IV), ~ apart = *tiran (IV) (loanword in Asturian)"
telegraph,(neol) fairramelja (m. N)
telephone,1. *razdasandja (f. O) 2. *stibnasandja (f. O) (lit. voice-transmitter) 3. *stibnjo (f. Jon) (lit. voicer) 4. *sandja (f. O) (lit. sender)
telescope,*fairrasiuns (f. I)
television,1. *siunisandja (f. O) (lit. image-transmitter) 2. *manleikasandja (f. O) 3. *siunjo (f. Jon) (lit. sighter) 5. *manleikjo (f. Jon) (lit. Imager)
temperance,gahobains (f. I)
temple,alhs (m. Cons)
temporal,riureis (adj. I/Ja)
"tempt, to",1. fraisan (I red) 2. usfraisan (I red)
temptation,fraistubni (f. Jo)
tender,þlaqus (adj. U)
tent,hleiþra (f. O)
"terrify, to (v.)",ogjan (I weak i)
terror,agis (n. A)
test,kustus (m. U)
"testify, to (v.)",weitwodjan (I weak i)
testimony,1. weitwodiþa (f. O) 2. weitwodei (f. N)
tetrach,fidurragini (n. Ja)
"thank, to",awiliudon (II) + dat.
thankful,awiliudonds (II weak) + dat.
thanks,awiliuþ (n. A)
that,"1. þata 2. (Conj.) þatei, ei (as in: I see that I ….) 3. so ~ = ei … + opt 4. (Dem. Pron.) see: this"
the,"(Only used in emphasis or comparison and after a noun is used for the first time), see: this"
theft,þiubi (n. Ja)
their,1. (m.) ize 2. (f.) izo
them,"im (dat.), ins (m. Acc.), ija (n. / f. Acc.)"
themselves,to ~ = du sis misso
then,"þannu (used in an abstract sense in a conclusion, like in: if… then = þande … þannu)"
theological,*gudleis (adj. A)
theologist,1. *gudleis (m. A) (declined like an adjective) 2. *gudleisa (f. O) (declined like an adjective)
theology,*gudleisei (f. N)
theory,*unkusana gaskeireins (f. I/O)
there,jainar
thereafter,afar þata
therefore,þannu (so then)
thief,hliftus (m. U)
"think, to",1. miton (II weak) 2. hugjan (I) (to suppose)
thirst,þaurstei (f. N)
thirtieth,*þrijatiguda (comp.)
this,"1. sa (m. Nom.), þata (n. Nom. / Acc.), so (f. Nom.), þis (m./n. Gen.), þizos (f. Gen.), þamma (m./n. Dat.), þizai (f. Dat.), þana (m. Acc.), þo (f. Acc.)"
thorn,þaurnus (m. U)
thornbush (n.),aihwatundi (f. Jo)
thought,mitons (f. I)
thousand,þusundi (f. Jo)
thousandth,* þûsundida (comp.)
thrash,maihstus (m. U)
thread,*þredus (m. U)
threat,hwota (f. O)
"threaten, to",gahwotjan (I weak)
threatening,hwota (f. O)
three,þreis (adj. A strong)
Thursday,*þunaris dags (m. A)
Tiberian,Tibairiadeis (m. U/I)
time,"1. mel (n. A) (moment) 2. sinþ (n. A) (always with dative, e.g. two times = twaim sinþam), at the same ~ = samana, at this ~ = bi þamma mela"
title,ufarmeli (n. Ja)
tittle,striks (m. I)
Tiw,*Teiws (m. A)
to,du + dative
today,himma daga
toe,*tains (m. A)
together,samana
toilet,*gaggastaþs (m. I)
token,see sign
tomb (n.),hlaiwasna (f. O) (only found in plural)
Tokyo,(neol.) Tokio (f. N)
tolerable,sutis (adj. I)
tomorrow,gistradagis
tongue,tuggo (f. N)
too,1. jah (synonym of also) 2. ufar- (too much = ufarfilu)
tooth,tunþus (m. U)
torch (n.),hais (noun)
touch,*atsnarpeins (f. I/O)
"touch, to",1. attekan (V red abl) (he/she touched = attaitok) 2. atsnarpjan (I i weak) 2. rahton (II weak) (symbolically)
towel,*þwahilo (f. N) (W. E.)
tower,kelikn (n. A)
tradition,anafilh (n. A)
traffic,*fara (f. O)
train,*tauhts (f. I)
transfiguration,*inmaideins (f. I/O)
"transfigure, to",inmaidjan (I i weak)
transgressor (n.),"missataujan (as a pret. pres.) (I make myself a transgressor, Gal. 2:18 = missataujandan mik silban ustaiknja)"
"translate, to",gaskeirjan (I)
translator,gaskeirja (m. N)
translation,gaskeireins (f. I/O)
transmitter,*sandja (f. O)
"travel, to",wraton (II weak)
"tread, to",trudan (IV abl)
treasure,huzd (n. A)
"treat, to",~ shamefully = ganaitjan (I weak)
trembling (n.),reiro (f. N)
trespass,missadeþs (f. I)
tribulation,agliþa (f. O)
tribute (n.),gild (n. A)
trip,wratodus (m. U)
triumphant,hroþeigs (adj. A)
troll,*trallu (n. U) (Reconstructed by Grimm)
trouble,aglo (f. N)
"trouble, to",1. usþriutan (II abl) + dat 2. drobjan (I weak i)
TRUE,sunjeins (adj. A)
"trust, to",gatrauan (III weak)
truth,sunja (f. O)
tsar,*kaisar (m. A)
Tuesday,*Teiwis dags (m. A)
tumult,1. auhjodus (m. U) 2. drobna (m. N)
turkey (bird),*pawahana (m. N) (reconstructed by David Salo)
"turn, to",~ away = afwandjan (I weak i)
turnip,1. *rap (n. A) 2. *rapa (f. O) 3. *naps (m. A)
turtle,*taistudo (f. N) (W.E.)
turtledove,hraiwadubo (f. N)
tutor,ragineis (m. Ja)
tweet,*tweit (n. A)
twelve,"twalif (gen. = twalibe, dat. = twalibim)"
twentieth,*twatiguda (comp.)
two,twai (adj. A strong)
–ty,tigjus (m. U) (suffix for decades 20-60)
Tyr,*teiws (m. A)
unbelief,ungalaubeins (f. I/O)
unborn,unbaurans (part-perf)
uncertain,unwiss (adj)
uncircumcision,faurafilli (n. Ja) (it. For-skin)
uncle,1. *fadurja (m. N) (father’s brother) 2. *awahaims (m. I) / *auhaims (m. I) (mother’s brother) (Reconstructed by Nelson Goering)
uncleanness,1. unhrainiþa (f. O) 2. unhrainei (f. N)
"uncover, to (v.)",andhuljan (I weak j)
uncovering (n.),andhuleins (f. I/O)
under,uf + dat
underground,*ufgrundus (m. U)
underpants,*ufbroks (f. Cons.)
"understand, to (v.)",fraþjan (abl. VI) + dat.
understanding,1. frodei (f. N) 2. fullaweis (adj. A)
underworld,*uffairhwus (m. U)
undisputed,unandsakans (part-perf)
"undress, to",andwasjan (I j weak)
ungodliness,afgudei (f. N)
unisex,gamains (adj. A)
United States,*Amairika (f. O)
unity,ainamundiþa (f. O)
university,1. *mikila skaula (f. O) 2. *mikila skola (f. O)
unjust,"1. inwinds (adj. A) 2. inwindiþos (f. O) (the adjective unjust is formed with the genitive singular of inwindiþa, meaning unrighteousness)"
unlearned,untals (adj. A)
unleavened,unbeistjoþs (past-perf)
unless,sware
unmarried,1. unqeniþs (part. perf.) (only used for men) 2. unliugaiþs (past-perf)
unmoveable,ungawagiþs (part-perf)
unprepared,unmanwus (adj. U)
unrighteousness,inwindiþa (f. O)
unsearchable,unfairlaistiþs (past-perf)
unspeakable,unqeþs (adj. I/Ja)
unthankful,launawargs (adj. A)
unwashen,unþwahans (past-perf)
uproar,drobna (m. N)
"urinate, to",*meigan (I)
urine,*hland (n. A)
urology,*hlandaleisei (f. N)
"use, to",brukjan (I weak i) + gen
"use up, to",fraqiman (IV abl) + dat
useful,bruks (adj. I)
username,"(neol) *atgagganamo (n. N), see name for exceptions in the declension"
vail,hulistr (n. A)
valley,dals (m. Noun)
valkyrie,*walakusjo (f. N)
value,wairþ (n. A)
"value, to",wairþon (II weak)
Vandal,*wandals (m. A)
"vanish, to",gataurnan (IV weak)
vanity,uswissi (n. Ja)
vassal,the ~ of the king = *þiufaþs (m. I)
veal,*kalbamimz (noun)
veil,faurhah (n. A)
vengeance,"fraweit (n. A), ~ is mine = mis fraweit leitaidau"
Venus,auzawandils (m. A)
very,1. filu 2. abraba (stronger than filu)
vessel,kas (n. A)
victorious,hroþeigs (adj. A)
victory,sigis (n. A)
video,*film (n. A)
viking,*weikiggs (m. A)
vine,weinatriu (n. Wa)
vineyard,weinatriu (n. Wa)
violent (adj.),abrs (adj. A)
virgin magaþs (f. I),
virginity,magaþei (f. N)
virtue,godei (f. N)
visible,anasiuns (adj. I)
Visigoth,*Wistraguta (m. N)
Visigothic,*Wistragutisks (adj. A)
"visit, to",gaweison (II weak) + gen.
visitation,niuhseins (f. I/O)
vivid,*gaheis (adj. Ja) (reconstructed by Peter Alexander Kerkhof)
voice,stibna (f. O)
"wade, to",*wadan (reconstructed by J.G. Quak)
"wag, to",wiþon (II weak)
wage (n.),laun (n. A)
wagon,1. *karrahago (f. N) (latinized Gothic word) 2. *karrs (m. A)
"wait, to",beidan (I abl) + gen. (Waiting for the kingdom of God = beidands þiudangardjos gudis; thing waited for is in the genitive)
"wake up, to (vb.)",gawaknan (IV weak)
Wales,*Walhaland (n. A)
walhalla,*walahalla (f. O)
"walk, to",hwarbon (II weak)
wall,"baurgswaddjus (f. U) (literally: city-wall, for another kind of wall use waddjus (f. U) seperately)"
walrus,*haursahwals (n. A)
"want, to",wiljan (unspecifief verb) (present tense conjugated like the optative present form)
war,"*badus (m. U), second world ~ = anþar (adj. A strong) fairhwubadus (m. U), to go to ~ = driugan (II weak)"
warfare,"drauhtinassus (m. U), to go on ~ = drauhtinon (II weak)"
warmth,*warmei (f. N)
wary,*war (adj. A)
wasp,*wapso (f. N)
waste,fraqisteins (f. I/O)
watching,wokains (f. I)
water,"wato (n. N), pl. Nom. = watna, pl. Gen. = *watne, pl. Dat. = watnam, pl. Acc. = watna, white- ~ / rapids = stainaha watna"
wave,wegs (m. A)
way,"1. wigs (n. A) (way on a land), rough ~ = usdrusts (f. I) 2. haidus (m. U) (way to do something)"
weak,unmahteigs (adj. A)
weapon,1. *wepna (n. A) (plural) 2. *sarwa (m. N)
weather,*wiþr (n. A)
Wednesday,*wodanisdags (m. A)
week,1. sabbato (f. N) 2. wiko (f. N) (attested only once)
weekend,*sabbatons andeis (m. Ja)
"weep, to",gretan (abl red) (he/she wept = gaigrot)
weeping,grets (m. A)
weight,kaurei (f. N)
weighty,kaurus (adj. U)
well,waila
Welsh,1. *walhiska (adj. A) razda (f. O) 2. *Walhisks (adj. A)
Welshman,*walhs (m. A)
werewolf,*wairawulfs (m. A)
west,"1. *wistrs (m. A) 2. wistra- (adj.), from the ~ = *wistana, in the ~ = *wistar, to the ~ = *wistar"
westwards,*wistar
wet,*nats (adj. A)
what,1. (int) hwa 2. (relative pronoun) see which
whatsoever,þishwah
wheat,hwaiteis (m. Ja)
wheel,1. *raþ (n. A) (dat. Sing. raþa) 2. *hwai(h)l (n. A)
when,1. (int.) hwan 2. þan (can never be used in initial position) 3. þanuh
where,"1. (int.) hwar 2. þarei (in phrases which aren’t questions, in the sense of: the place where = staþs, þarei)"
whether,"ei, ~ … or = jaþþe … jaþþe"
while,"1. hweila (f. O) 2. miþþanei (With contrast, used as in: I was here, while he was there. Ik was her, miþþanei is was jainar.)"
whilst,biþe
whip,*laittug
white,hweits (adj. A)
"white, to",hweitjan (I i weak)
who,"1. (int.) (m. Nom.) hwas, (f. Nom.) hwo 2. (Who as relative pronoun, the person who ..) (m. Nom.) Saei, (n. Nom.) þatei, (f. Nom.) soei/sei (sei is used more frequently then soei)"
whole,alls (adj. A)
wholly,allandjo (indecl)
whore,kalkjo (f. N)
whoredom (n.),horinassus (m. U)
whosoever,hwazuh saei (masc. nom. sing. form)
why,"1. (interr) duhwe 2. (interr) hwa þatei 3. (confirmative), that’s why = in þis, in þizei"
wicked,unsibjis (adj. Ja)
wickedness,unselei (f. N)
wide,braiþs (adj.)
widow,widuwo (f. N)
width,braidei (f. N)
wife (n.),qino (f. N)
wild (adj.),1. haiþiwisks (adj. A) (food or product which is from the wild)
wilderness,auþida (f. O)
wildly,wilþiba
will,wilja (m. N)
"will, to (v.)","haban (III weak) + verb (the future tense in Gothic is formed by the verb haban + the verb), for would + verb you use the past subjunctive tense of a verb in Gothic, e.g. I would do = tawidedjau"
willingly,us lustum
wind,winds (m. A)
window,augadauro (n. N)
wine,"wein (n. A), berry ~ = basjawein (n. A), given to ~ = weinnas"
wine–servant,*skagkja (m. N)
wing,*fiþrahama (m. N)
winter,wintrus (m. U)
"wipe, to",~ out = afswairban (III)
wisdom,1. handugei (f. N) 2. frodei (f. N)
wise,1. handugs (adj. A) 2. froþs (adj. A)
wisely,frodaba
witch,*haljaruna (f. O)
witchcraft,lubjaleisei (f. N)
with,miþ + dat
"withdraw, to",ufsliupan (II abl)
without,1. inuh + acc 2. utana + gen (from the outside)
"withstand, to",andstandan (VI)
witness,1. weitwoþs (m. Root)
wizard,*lubjaleis (m. A)
woad,*wai(z)da (f. O)
Wodan,*Wodans (m. A)
woe,O woe = wai
wolf,wulfs (m. A)
woman,qino (f. N) foolish ~ = qineins (n.)foolish ~ = qineins (n.)
womb,1. qiþus (m. U) 2. kilþei (f. N) (occurs only once)
wonderful (adj.),sildaleiks (adj. A)
wood,triu (n. Wa)
wooden,*triweins (adj. A)
woodpeaker,*paih(t)s (m. A)
woods,*widus (m. U)
word,waurd (n. A)
work,waurstw (n. A)
worker,gawaurstwa (m. N)
working,waurstwei (f. N) (not labour by men but doing something)
world,1. fairhwus (m. U) 2. midjungards (m. I) (the world where people live)
worm,maþa (m. N)
wormhole,*waurmaþairko (f. N)
worse,1. wairsiza (comp.) 2. wairs
"worship, to",blotan (V red)
worshipper,"1. *blostreis (m. Ja), ~ of God = gudblostreis (m. Ja) 2. *blostreisa (f. O)"
worshipping,1. blotinassus (m. U) 2. skalkinassus (m. U)
worthy (adv),wairþaba
"wrap, to",biwindan (III abl)
wrath (n.),1. þwairhei (f. N) 2. moþs (m. A) 3. hatis (n. A)
wretched (adj.),arms (adj. A)
"write, to",meljan (I) + dat
writer,1. bokareis (m. Ja) 2. *bokari (f. Jo)
yellow,1. *gilws (adj. Wa) 2. *gulws (adj. Wa)
Yiddish,1. *Idiska (f. O) (reconstructed by David Salo) 2. *Jidiska (f. O) (reconstructed by David Salo)
yoke,juk (n. A)
younger,"minniza (Comp.), only in: The elder serves the ~ = sa maiza skalkinoþ þamma minizin"
your,"1. (sing) (both informal and formal) þeins (posessive pronoun, always declined strongly) 2. (dual) iggqar (possesive pronoun, always declined strongly) 3. (plural) izwar (possesive pronoun, always declined strongly)"
youth,junda (f. O) (someones youth)
yule,*jiul (n. A)
zeal,aljan (n. A)
zeitgeist,*aldiwists (f. I)
zionism,*Sionismus (m. U)
zionist,*Sionistus (m. U)
zoological (adj.),*diuzaleis (adj. A)
zoologist (n.),*diuzaleis (m. A) (declined like an adjective) 2. *diuzaleisa (f. O) (declined like an adjective)
zoology (n.),*diuzaleisei (f. N)